timestamp,open,high,low,close,volume
2025-11-18 20:00:00,3146.01,3150.43,3122.72,3123.2,9823.7983
2025-11-18 21:00:00,3123.19,3131.18,3097.21,3098.25,12713.9789
2025-11-18 22:00:00,3098.25,3129.77,3097.66,3125.55,10187.9109
2025-11-18 23:00:00,3125.55,3126.45,3107.56,3123.66,7064.8826
2025-11-19 00:00:00,3123.65,3124.17,3077.88,3100.64,19305.2053
2025-11-19 01:00:00,3100.64,3116.28,3085.26,3105.1,14767.5255
2025-11-19 02:00:00,3105.1,3125.54,3097.88,3113.93,10027.0991
2025-11-19 03:00:00,3113.94,3118.33,3069.59,3073.02,21154.4485
2025-11-19 04:00:00,3073.01,3076.83,3045.81,3048.57,19686.8734
2025-11-19 05:00:00,3048.57,3052.67,2992.23,3017.56,42317.3624
2025-11-19 06:00:00,3017.56,3045.03,3010.6,3041.15,21880.4065
2025-11-19 07:00:00,3041.15,3087.71,3039.25,3084.96,21975.9677
2025-11-19 08:00:00,3084.97,3100.31,3072.5,3080.21,26621.9431
2025-11-19 09:00:00,3080.2,3088.24,3053.55,3088.24,18459.5205
2025-11-19 10:00:00,3088.24,3112.55,3083.51,3092.0,15087.8988
2025-11-19 11:00:00,3091.99,3102.28,3077.54,3083.51,8677.1052
2025-11-19 12:00:00,3083.51,3108.76,3081.01,3100.82,14167.6513
2025-11-19 13:00:00,3100.82,3101.36,3057.76,3067.36,26991.7955
2025-11-19 14:00:00,3067.36,3070.26,3023.89,3060.51,35427.9395
2025-11-19 15:00:00,3060.52,3106.2,2967.0,2973.16,87986.5111
2025-11-19 16:00:00,2973.15,3000.0,2936.62,2950.19,65298.2287
2025-11-19 17:00:00,2950.19,2961.22,2900.0,2922.85,63210.689
2025-11-19 18:00:00,2922.84,2929.68,2880.49,2899.75,52898.3805
2025-11-19 19:00:00,2899.74,2905.84,2873.64,2881.66,26501.3417
2025-11-19 20:00:00,2881.66,2957.32,2875.0,2945.29,37328.8187
2025-11-19 21:00:00,2945.3,3002.0,2939.13,2991.66,43619.6353
2025-11-19 22:00:00,2991.65,2992.42,2953.85,2984.54,16296.8945
2025-11-19 23:00:00,2984.54,3027.88,2984.54,3025.48,28237.4728
2025-11-20 00:00:00,3025.48,3049.14,3004.41,3019.27,24613.2278
2025-11-20 01:00:00,3019.26,3050.5,3018.8,3047.51,30520.5461
2025-11-20 02:00:00,3047.51,3058.0,3029.33,3044.26,21694.6761
2025-11-20 03:00:00,3044.26,3053.23,3037.27,3038.98,10739.7398
2025-11-20 04:00:00,3038.99,3055.0,3017.4,3054.01,20735.0877
2025-11-20 05:00:00,3054.02,3063.61,3032.98,3035.38,19885.7205
2025-11-20 06:00:00,3035.37,3042.5,3006.89,3020.81,17435.9644
2025-11-20 07:00:00,3020.81,3044.42,3015.5,3039.43,11714.0115
2025-11-20 08:00:00,3039.44,3044.75,3022.6,3030.85,16074.1279
2025-11-20 09:00:00,3030.85,3033.93,2995.52,3011.39,18774.3431
2025-11-20 10:00:00,3011.39,3020.86,2993.91,3015.3,15266.2378
2025-11-20 11:00:00,3015.3,3027.48,3002.0,3023.98,13098.3355
2025-11-20 12:00:00,3023.99,3033.0,3010.74,3028.86,10902.905
2025-11-20 13:00:00,3028.87,3049.58,2996.28,2999.81,33973.0495
2025-11-20 14:00:00,2999.82,3022.7,2963.68,3000.7,61146.1732
2025-11-20 15:00:00,3000.7,3003.48,2952.39,2955.68,37670.6617
2025-11-20 16:00:00,2955.65,2961.28,2848.01,2862.68,139725.5932
2025-11-20 17:00:00,2862.65,2873.62,2807.35,2833.66,102898.856
2025-11-20 18:00:00,2833.65,2860.64,2806.36,2813.66,121942.5428
2025-11-20 19:00:00,2813.66,2855.28,2790.01,2847.9,86887.197
2025-11-20 20:00:00,2847.89,2856.54,2819.55,2835.29,33089.1308
2025-11-20 21:00:00,2835.3,2897.63,2834.63,2879.65,23241.5672
2025-11-20 22:00:00,2879.64,2905.93,2876.18,2886.17,15376.3561
2025-11-20 23:00:00,2886.16,2891.54,2826.49,2834.22,25118.3211
